,Name,Average(joule),Standart deviation(%),Standart deviation(J),Min,Max,Average(alljoule),Time(s),Joule/sec,Run count
0,java-2.problem0,152,1.88,2.86,146,157,1.48e+03,5.256576923077,28.9,26
1,java-3.problem0,148,3.13,4.64,136,157,1.42e+03,5.0249,29.5,25
2,java-4.problem0,175,2.34,4.1,165,182,1.5e+03,5.241192307692,33.4,26
3,java-6.problem0,149,2.21,3.29,143,155,1.44e+03,5.1067,29.2,25
4,java-7.problem0,118,2.44,2.88,111,123,576,1.811630769231,65.3,26
5,java-1.problem1,257,1.31,3.35,245,261,885,2.485730769231,103,26
6,java-2.problem1,1.01e+03,9.51,96.5,902,1.18e+03,1.11e+04,39.94326923077,25.4,26
7,java-3.problem1,180,1.3,2.33,174,183,651,1.865076923077,96.3,26
8,java-2.problem2,128,3.21,4.09,117,137,1.4e+03,5.0361,25.3,25
9,java-4.problem2,84.3,3.28,2.77,79.4,90,1.04e+03,3.762903846154,22.4,26
10,java-1.problem3,640,1.6,10.3,620,660,7.54e+03,27.31215865385,23.4,26
11,java-2.problem3,112,1.23,1.38,109,115,444,1.3143125,85.4,26
12,java-3.problem3,169,2.45,4.14,160,176,625,1.802555,93.9,25
13,java-4.problem3,114,1.13,1.29,111,116,469,1.407465,80.9,25
14,java-6.problem3,123,1.41,1.74,119,126,469,1.370033653846,90,26
15,java-1.problem4,161,2.41,3.89,154,169,1.93e+03,6.9994375,23,24
16,java-2.problem4,150,3.01,4.53,143,162,1.86e+03,6.765673076923,22.2,26
17,java-3.problem4,147,2.3,3.38,142,155,1.86e+03,6.764,21.8,26
18,java-4.problem4,137,2.62,3.59,131,146,1.74e+03,6.348942307692,21.6,26
19,java-5.problem4,141,2.74,3.86,132,148,1.8e+03,6.57025,21.5,26
20,java-4.problem5,37.8,2.85,1.08,35.9,40.3,486,1.772846153846,21.3,26
21,java-5.problem5,36.9,3.3,1.22,34.3,39.9,487,1.781726851852,20.7,27
22,java-6.problem5,35.6,2.85,1.01,33.5,37.8,445,1.623068181818,21.9,22
23,java-8.problem5,76.9,5.27,4.05,66.3,83.7,509,1.711145,44.9,25
24,java-1.problem6,147,2.83,4.17,141,158,2.06e+03,7.5714,19.5,25
25,java-2.problem6,118,3.53,4.17,110,126,524,1.603046153846,73.7,26
26,javascript-1.problem0,737,2.29,16.9,710,770,6.93e+03,24.51876,30,25
27,javascript-1.problem1,1.01e+03,2.02,20.4,978,1.06e+03,1.14e+04,40.99661538462,24.7,26
28,javascript-3.problem1,6.64e+03,1.79,119,6.39e+03,6.94e+03,6.95e+04,248.5602962963,26.7,27
29,javascript-4.problem1,856,1.97,16.9,816,884,9.81e+03,35.37884615385,24.2,26
30,javascript-1.problem2,1.54e+03,1.89,29,1.47e+03,1.58e+03,1.51e+04,53.73480769231,28.6,26
31,javascript-2.problem2,1.53e+03,1.66,25.3,1.47e+03,1.56e+03,1.52e+04,53.99552,28.3,25
32,javascript-3.problem2,1.54e+03,2.38,36.6,1.45e+03,1.61e+03,1.51e+04,53.67057692308,28.6,26
33,javascript-4.problem2,1.57e+03,2.26,35.5,1.51e+03,1.69e+03,1.52e+04,53.76346153846,29.2,26
34,javascript-1.problem4,161,4.35,7.02,150,181,2.07e+03,7.546407407407,21.4,27
35,javascript-2.problem4,236,4.03,9.49,216,261,2.91e+03,10.58223076923,22.3,26
36,javascript-4.problem4,172,3.02,5.19,160,179,2.26e+03,8.25752173913,20.8,23
37,javascript-5.problem4,179,4.27,7.64,164,200,2.34e+03,8.551653846154,20.9,26
38,javascript-2.problem5,186,2.44,4.53,176,195,1.95e+03,6.975538461538,26.6,26
39,javascript-7.problem5,78.3,3.7,2.9,73.5,86,873,3.142487179487,24.9,26
40,javascript-1.problem6,114,3.63,4.13,106,126,1.5e+03,5.493057692308,20.7,26
41,javascript-2.problem6,174,2.49,4.34,165,185,2.03e+03,7.35992,23.7,25
42,javascript-3.problem6,113,6.17,6.98,90.4,132,1.49e+03,5.46112962963,20.7,27
43,javascript-5.problem6,115,4.7,5.39,106,133,1.5e+03,5.475865384615,20.9,26
