,Language,Binarytrees,Fannkuchredux,Fasta,Mandelbrot,Nbody,Revcomp,Spectralnorm
0,java-,"['149', '150', '12.5', '111', '182']","['490', '258', '78.1', '174', '1.18e+03']","['105', '90', '20.8', '79.4', '137']","['233', '123', '88.5', '109', '660']","['147', '146', '6.2', '131', '169']","['46.8', '37.3', '37.4', '33.5', '83.7']","['132', '126', '11.4', '110', '158']"
1,javascript-,"['737', '738', '2.29', '710', '770']","['2.89e+03', '1.01e+03', '93.9', '816', '6.94e+03']","['1.54e+03', '1.54e+03', '2.35', '1.45e+03', '1.69e+03']","('NaN', 'NaN')","['187', '175', '16.1', '150', '261']","['132', '131', '40.8', '73.5', '195']","['128', '115', '20.6', '90.4', '185']"
2,python3-,"['4.36e+03', '2.96e+03', '34.3', '2.83e+03', '6.06e+03']","['3.87e+04', '4.31e+04', '32.1', '1.78e+04', '5.18e+04']","['3.24e+03', '3.5e+03', '15.7', '2.44e+03', '3.8e+03']","['1.84e+04', '1.84e+04', '0.895', '1.81e+04', '1.89e+04']","['1.83e+04', '1.83e+04', '2.28', '1.73e+04', '1.9e+04']","['81.9', '73', '20.2', '59.9', '104']","['1.43e+04', '1.54e+04', '12', '1.23e+04', '1.65e+04']"
3,php-,"['1.83e+04', '1.44e+04', '32.4', '1.34e+04', '2.75e+04']","['3.55e+04', '3.7e+04', '32.6', '1.57e+04', '4.81e+04']","['3.06e+03', '2.09e+03', '69.7', '961', '6.21e+03']","['1.12e+04', '1.1e+04', '43', '6.33e+03', '1.64e+04']","['1.05e+04', '1.04e+04', '3.08', '1.01e+04', '1.13e+04']","['20.7', '13.6', '49.3', '10.6', '37.3']","['4.9e+03', '6.48e+03', '38.4', '2.95e+03', '6.98e+03']"
4,cs-,"['1.36e+03', '1.14e+03', '48.2', '668', '2.53e+03']","['1.27e+03', '1.3e+03', '12.7', '997', '1.54e+03']","['151', '152', '10.1', '123', '181']","['542', '255', '117', '216', '2.05e+03']","['306', '276', '27.9', '237', '542']","['39.5', '30.7', '56.6', '21.9', '93.9']","['131', '42.4', '80.8', '12.1', '253']"
5,yarv-,"['2.92e+03', '2.97e+03', '6.84', '2.49e+03', '3.2e+03']","['4.89e+04', '4.88e+04', '3.7', '4.57e+04', '5.17e+04']","['2.62e+03', '2.68e+03', '21.8', '1.79e+03', '3.66e+03']","['2.19e+04', '1.59e+04', '42.5', '1.33e+04', '3.81e+04']","['8.56e+03', '8.56e+03', '1.4', '8.3e+03', '8.78e+03']","['101', '75', '33.5', '60.6', '142']","['5.08e+03', '4.93e+03', '14.1', '4.16e+03', '6.15e+03']"
6,c-flags-,"['422', '473', '15.6', '336', '505']","['563', '602', '50.8', '204', '1.03e+03']","['77.9', '58.9', '38', '46.5', '164']","['212', '141', '89.4', '35', '549']","['111', '112', '8.56', '90.5', '133']","['18.6', '16.8', '23.9', '13.6', '28.4']","['47.6', '26', '76.4', '20.2', '117']"
7,c-noflags-,"['484', '487', '17.6', '370', '608']","['1.08e+03', '742', '64.6', '273', '2.23e+03']","['155', '171', '26.4', '60.5', '188']","['488', '315', '87.4', '96.7', '1.24e+03']","['378', '347', '36.3', '222', '684']","['31.3', '32.4', '32.9', '16.2', '45.9']","['101', '102', '50', '51.9', '189']"
8,c++-flags-,"['78.7', '79.8', '4.4', '70.9', '84.9']","['418', '308', '41.3', '195', '637']","['74.8', '65.2', '21.5', '51.5', '109']","['282', '249', '107', '23.3', '964']","['110', '113', '13', '86.3', '139']","['90.2', '31.9', '134', '14.9', '349']","['53.5', '51', '65.7', '20.3', '119']"
9,c++-noflags-,"['877', '878', '2.25', '834', '922']","['2.05e+03', '1.89e+03', '38.4', '1.08e+03', '3.36e+03']","['542', '436', '56.2', '138', '959']","['2.03e+03', '1.2e+03', '96.2', '810', '6.64e+03']","['764', '858', '43', '302', '1.25e+03']","['226', '49.4', '115', '17.9', '754']","['124', '30.7', '116', '28.6', '382']"
